function,mt8192_source,mt8195_source,an7581_an7583_byte_identical
ANA_CLOCK_SWITCH,ANA_init_config.c,ANA_init_config.c,yes
ANA_Config_shuffle,ANA_init_config.c,ANA_init_config.c,yes
ANA_PHY_Config,ANA_init_config.c,ANA_init_config.c,yes
DIG_CONFIG_DVFS_DEPENDENCE,DIG_SHUF_config.c,DIG_SHUF_config.c,yes
DIG_CONFIG_SHUF,DIG_SHUF_config.c,DIG_SHUF_config.c,yes
DIG_DCM_nonshuffle_config,ANA_init_config.c,ANA_init_config.c,yes
DIG_PHY_SHU_MISC_CG_CTRL,ANA_init_config.c,ANA_init_config.c,yes
DIG_STATIC_SETTING,DIG_NONSHUF_config.c,DIG_NONSHUF_config.c,yes
DramcEngine2Compare,dramc_utility.c,dramc_utility.c,yes
DramcEngine2Run,dramc_utility.c,dramc_utility.c,yes
DramcEngine2SetPat,dramc_utility.c,dramc_utility.c,yes
DramcModeRegReadByRank,dramc_utility.c,dramc_utility.c,yes
DramcModifiedRefreshMode,dramc_pi_basic_api.c,dramc_pi_basic_api.c,yes
DramcRefreshRateDeBounceEnable,dramc_pi_basic_api.c,dramc_pi_basic_api.c,yes
DramcSetRankEngine2,dramc_utility.c,dramc_utility.c,yes
DramcZQCalibration,dramc_pi_calibration_api.c,dramc_pi_calibration_api.c,yes
GetDramcBroadcast,dramc_utility.c,dramc_utility.c,yes
Get_Duty_Calibration_Mode,dramc_utility.c,dramc_utility.c,yes
S0_DCMOffWA,dramc_pi_basic_api.c,dramc_pi_basic_api.c,yes
SetMck8xLowPwrOption,dramc_pi_basic_api.c,dramc_pi_basic_api.c,yes
ShiftDQUI,dramc_pi_calibration_api.c,dramc_pi_calibration_api.c,yes
ShiftDQUI_AllRK,dramc_pi_calibration_api.c,dramc_pi_calibration_api.c,yes
ShiftDQ_OENUI,dramc_pi_calibration_api.c,dramc_pi_calibration_api.c,yes
ShiftDQ_OENUI_AllRK,dramc_pi_calibration_api.c,dramc_pi_calibration_api.c,yes
dle_factor_handler,dramc_pi_calibration_api.c,dramc_pi_calibration_api.c,yes
u1GetRank,dramc_utility.c,dramc_utility.c,yes
u1IsPhaseMode,dramc_pi_calibration_api.c,dramc_pi_calibration_api.c,yes
vAutoRefreshSwitch,dramc_utility.c,dramc_utility.c,yes
vCKERankCtrl,dramc_utility.c,dramc_utility.c,yes
vGetPHY2ChannelMapping,dramc_utility.c,dramc_utility.c,yes
vGet_DDR_Loop_Mode,dramc_utility.c,dramc_utility.c,yes
vGet_Div_Mode,dramc_utility.c,dramc_utility.c,yes
vGet_Dram_CBT_Mode,dramc_utility.c,dramc_utility.c,yes
vInitGlobalVariablesByCondition,dramc_pi_calibration_api.c,dramc_pi_calibration_api.c,yes
vSetCalibrationResult,dramc_pi_calibration_api.c,dramc_pi_calibration_api.c,yes
vSetDFSTable,dramc_dvfs.c,dramc_dvfs.c,yes
vSetDramMRWriteLevelingOnOff,dramc_pi_calibration_api.c,dramc_pi_calibration_api.c,yes
vSetPHY2ChannelMapping,dramc_utility.c,dramc_utility.c,yes
vSetRank,dramc_utility.c,dramc_utility.c,yes
vSetRankNumber,dramc_utility.c,dramc_utility.c,yes
