unit,an7581,an7583,notes
IPM_actiming_setting_DDR3,EXACT_DATA,EXACT_DATA,2680-byte table payload reproduced byte-for-byte
IPM_actiming_setting_DDR4,EXACT_DATA,EXACT_DATA,8280-byte table payload reproduced byte-for-byte
TX_RX_auto_gen_library,FUNCTIONAL_HIGH,FUNCTIONAL_HIGH,10/10 function sections identical cross-SoC; full functional reconstruction
Hal_io,FUNCTIONAL_HIGH,FUNCTIONAL_HIGH,full functional source; GCC 10.3 convergence pending
DDR3_dram_init,FUNCTIONAL_HIGH,FUNCTIONAL_HIGH,PCDDR-specific recovery with oracle-derived flow
DDR4_dram_init,FUNCTIONAL_HIGH,FUNCTIONAL_HIGH,PCDDR-specific recovery with oracle-derived flow
HW_FUNC_MANAGE,FUNCTIONAL,FUNCTIONAL,all 18 exports represented; confirmed vendor no-op exports remain no-op
MD32_initial,FUNCTIONAL_HIGH,FUNCTIONAL_HIGH,per-channel sequence and wrapper recovered
RX_path_auto_gen,FUNCTIONAL_HIGH,FUNCTIONAL_HIGH,calculate_RX_path_rg_val and register-programming wrapper recovered; central arithmetic identical cross-SoC
TX_path_auto_gen,FUNCTIONAL_HIGH,FUNCTIONAL_HIGH,calculate_TX_path_rg_val and TX_PATH_config recovered; central arithmetic identical cross-SoC
dramc,FUNCTIONAL_HIGH,FUNCTIONAL_HIGH,complete functional source per SoC including AN7583 scrambler/RBUS behavior
dramc_dv_dut,FUNCTIONAL_HIGH,FUNCTIONAL_HIGH,DramcDUTTopSet/DramcDUTShuSet/DramcHWFuncSet recovered
dramc_selfrefresh_api,N/A,FUNCTIONAL_HIGH,AN7583-only; self-refresh/PLL/calibration backup+apply/migration/MR6-Vref reconstructed
dramtest,N/A,FUNCTIONAL_HIGH,AN7583-only; all 15 global functions recovered; optimizer-neutral Clang proxy raw relocated call sequence matches 13/15; remaining 2 differ by compiler basic-block/printf-call merging; GCC 10.3 convergence pending
ANA_init_config,PUBLIC_BASE,PUBLIC_BASE,MT8192/8195 lineage base; per-function oracle convergence pending
DIG_NONSHUF_config,PUBLIC_BASE,PUBLIC_BASE,MT8192/8195 lineage base; per-function oracle convergence pending
DIG_SHUF_config,PUBLIC_BASE,PUBLIC_BASE,MT8192/8195 lineage base; per-function oracle convergence pending
DRAMC_SUBSYS_config,PUBLIC_BASE,PUBLIC_BASE,MT8192/8195 lineage base; per-function oracle convergence pending
dramc_actiming,PUBLIC_BASE,PUBLIC_BASE,MT8192/8195 lineage base; per-function oracle convergence pending
dramc_dvfs,FUNCTIONAL_HIGH,FUNCTIONAL_HIGH,fully object-derived; all 3 functions byte-identical AN7581<->AN7583; semantics recovered directly from vendor objects
dramc_pi_basic_api,FUNCTIONAL_HIGH,FUNCTIONAL_HIGH,object-derived core is canonical; AN7581 32/32 and AN7583 35/35 ELF functions represented; vendor-call multiplicities checked for vReplaceDVInit
dramc_pi_calibration_api,PUBLIC_BASE,PUBLIC_BASE,MediaTek lineage base; Phase A+B done, DramcWriteLeveling and dramc_rx_dqs_gating_cal both done independently for both SoCs via full instruction-level traces (an7581 33/55 incl. 4 dependency helpers and DramcTxWindowPerbitCal itself, an7583 34/57 incl. 6 dependency helpers and DramcTxWindowPerbitCal itself) with per-callee relocation counts matching the vendor exactly at -O0 (an7583's gating trace has zero discrepancies; an7581's has one open __meta_restore count difference); DramcTxWindowPerbitCal fully reconstructed and validated independently for BOTH SoCs with zero call-count discrepancies across all distinct callees -- an7581 (2504B, 925-instruction/141-branch trace, two-exit-mode Vref-scan-vs-commit structure) and an7583 (2732B, notably larger, 1174-instruction trace; genuinely different/expanded structure incl. 2 helpers an7581 has no equivalent of at all -- TxWinTransferDelayToUIPIByHighSpeed/TXUpdateDelayReg_DQ_DQM -- a table-driven DLY_RG_Mapping Vref-OE commit, a 12-register rank-1 mirror pair, and a direct MMIO combined-Vref register write at 0x1fc8000c) -- see calibration-api-convergence/README.md; DramcRxWindowPerbitCal's own three dependencies (DramcRxWinRDDQCInit/Run/End) are recovered and validated for both SoCs; the main function itself is now fully reconstructed and validated independently for BOTH SoCs with zero call-count discrepancies -- an7581 (2540B, 1024-instruction trace; two-level coarse-candidate x per-bit-window search, RX-specific split delay encoding, a DDR3 per-lane result-flatten quirk, and a persisted s2RxDelayPreCal "resume near last result" cache) and an7583 (2472B, 1008-instruction trace; two separate rank-1-mirror pairs incl. one AN7581 has no equivalent of at all, a table-driven DLY_RG_Mapping groups-of-8 OE commit, and an extra ctx+0xce DDR3-flatten gate) -- see README.md; this completes DramcWriteLeveling/dramc_rx_dqs_gating_cal/DramcTxWindowPerbitCal/DramcRxWindowPerbitCal for both SoCs; remaining per-function convergence pending for the rest of this still-PUBLIC_BASE file (Phase C onward)
dramc_pi_main,PUBLIC_BASE,PUBLIC_BASE,MediaTek lineage base; per-function convergence pending
dramc_utility,FUNCTIONAL_HIGH,FUNCTIONAL_HIGH,object-derived core is canonical; 62/62 ELF functions represented for both SoCs
ecnt_npu_img,PUBLIC_BASE,PUBLIC_BASE,bl23; RISC-V MD32 NPU firmware blob confirmed byte-identical across an7581/an7583/en7523 and byte-identical to a build of the user-supplied MD32RV SDK tree (reference/common/drivers/NPU/md32rv-sdk, full DWARF debug info); PAUSED pending MD32RV/MRV33E25 ISA docs -- vendor uses undocumented custom encodings on standard opcodes 0x33/0x67 (confirmed real by vendor engineer, not a disassembly artifact); no .c source recovered yet, see analysis/npu-img-convergence/README.md
